PDB_ID	ALA	ARG	ASN	ASP	CYS	GLU	GLN	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL
121p	4	0	2	2	2	4	1	8	0	5	8	3	1	4	0	1	3	0	4	10
12ca	6	2	4	3	1	3	3	4	5	5	13	5	0	7	4	3	5	5	5	8
133l	5	3	3	2	5	1	3	2	0	3	4	1	2	1	0	1	0	5	4	3
134l	6	2	3	2	4	2	3	1	0	2	3	1	2	1	0	1	0	4	4	3
1a00	4	2	3	1	1	3	2	3	2	0	7	2	0	4	3	0	1	1	3	7
1a01	4	2	3	2	2	2	2	1	2	0	7	2	0	3	1	1	1	0	2	3
1a02	4	10	4	3	1	4	7	4	4	9	6	8	1	4	6	9	3	1	3	7
1a0l	2	5	2	8	4	3	5	9	3	1	4	2	1	2	6	4	2	4	3	5
1a0n	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	1
1a0u	6	2	4	1	1	2	2	6	2	0	6	3	1	2	3	0	2	1	2	10
1a0z	4	2	3	1	1	3	2	3	2	0	7	2	0	4	2	0	1	2	2	7
1a15	1	1	0	0	1	0	0	0	1	4	4	3	0	0	0	0	0	1	2	3
1a1m	8	7	3	5	4	5	7	2	3	6	9	2	4	9	3	7	7	7	17	9
1a1n	9	7	3	4	5	4	5	3	2	6	11	3	4	9	2	8	8	7	17	10
1a1o	9	6	3	3	4	4	6	3	3	6	10	2	3	9	2	9	6	7	17	10
1a1u	0	2	1	0	0	2	1	0	0	2	2	0	0	1	0	0	1	0	1	0
1a22	5	9	2	9	7	9	6	3	2	7	13	7	3	10	5	7	7	6	9	5
1a28	1	3	3	0	3	3	2	2	2	6	26	3	6	8	4	6	3	3	3	4
1a2c	6	4	0	2	4	2	4	11	1	7	15	4	5	4	4	5	3	4	5	10
1a31	5	10	10	5	1	5	4	7	3	11	13	15	4	8	6	5	5	2	4	3
1a35	6	13	12	3	1	5	6	7	3	12	11	16	2	7	5	5	7	2	4	3
1a36	11	10	8	4	2	4	5	8	2	10	16	20	5	6	4	6	9	2	5	10
1a3b	5	3	0	3	5	3	4	10	1	8	13	3	6	4	4	5	4	4	6	11
1a3e	5	3	0	3	4	2	4	10	2	9	14	4	5	4	4	5	4	4	4	11
1a3k	3	1	3	2	1	0	1	1	1	7	5	3	0	8	2	0	1	0	1	7
1a3n	2	2	3	1	0	2	2	2	1	0	4	2	0	3	2	1	1	1	2	5
1a3o	2	2	3	1	1	2	2	2	1	0	3	2	0	3	2	0	1	1	2	5
1a42	5	3	3	3	1	2	3	3	5	6	15	5	0	7	2	4	5	4	5	9
1a46	5	4	0	3	5	2	4	10	1	9	12	4	5	4	3	5	4	4	5	11
1a4r	4	1	2	2	2	4	0	3	0	5	8	5	1	5	4	3	3	1	3	12
1a4w	5	3	1	3	4	2	3	10	2	9	12	4	5	4	3	6	4	4	5	10
1a4y	8	8	4	8	4	15	8	3	1	5	24	7	0	2	0	12	4	4	1	6
1a52	5	4	3	2	2	4	2	2	2	8	22	1	3	4	3	6	2	3	2	4
1a5e	24	13	2	7	0	8	1	7	3	3	14	0	4	0	9	5	2	1	1	9
1a5g	4	5	0	2	4	2	4	12	2	6	13	4	5	4	4	5	3	3	5	10
1a61	5	6	1	2	4	2	4	10	1	7	14	4	5	5	3	5	4	4	5	10
