PDB_ID	ALA	ARG	ASN	ASP	CYS	GLU	GLN	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL
121p	3	0	2	2	2	2	1	7	0	3	6	2	1	4	0	1	3	0	4	9
12ca	4	2	3	3	1	2	2	2	5	5	11	4	0	7	3	3	5	3	3	7
133l	3	2	2	1	5	1	3	2	0	2	3	1	1	1	0	1	0	4	4	3
134l	6	2	1	2	4	1	2	0	0	2	3	1	1	1	0	0	0	4	4	3
1a00	3	2	3	1	1	2	2	2	2	0	5	1	0	3	3	0	1	0	3	6
1a01	4	2	3	2	2	2	2	0	2	0	5	1	0	3	1	1	1	0	2	3
1a02	3	10	3	3	1	4	7	3	4	8	6	6	1	4	6	9	3	1	3	7
1a0l	1	5	2	7	4	3	4	8	3	1	3	2	1	2	6	3	1	3	3	5
1a0n	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	1
1a0u	4	2	4	1	1	2	2	4	2	0	6	2	1	1	2	0	0	1	1	10
1a0z	2	2	3	1	1	3	2	3	2	0	6	0	0	3	2	0	1	1	2	6
1a15	1	1	0	0	0	0	0	0	1	4	1	2	0	0	0	0	0	1	2	3
1a1m	8	6	3	3	4	4	6	2	3	5	8	1	3	8	2	6	5	7	16	8
1a1n	7	5	3	3	5	4	5	2	2	5	9	1	3	8	2	7	5	7	16	9
1a1o	6	5	3	3	4	3	4	2	2	6	6	0	3	9	2	6	4	6	17	9
1a1u	0	1	1	0	0	2	0	0	0	2	2	0	0	1	0	0	1	0	1	0
1a22	5	8	2	8	6	6	6	2	2	6	10	7	3	9	3	5	6	6	8	4
1a28	1	3	3	0	3	1	2	2	1	6	24	2	6	7	3	4	1	3	3	4
1a2c	5	4	0	2	3	2	3	9	1	6	13	4	5	4	2	4	3	4	4	9
1a31	4	10	9	4	1	5	4	7	2	10	9	11	3	6	5	4	5	2	4	3
1a35	5	10	11	3	1	5	5	6	3	11	8	14	1	6	5	5	6	2	4	3
1a36	8	9	8	4	2	3	5	7	2	9	14	18	4	6	3	4	9	2	3	8
1a3b	4	3	0	2	2	2	4	9	1	7	10	3	5	4	2	5	4	3	4	10
1a3e	5	3	0	2	3	2	4	10	1	7	11	4	4	4	3	5	4	3	4	9
1a3k	3	1	2	2	1	0	1	1	1	6	5	1	0	8	2	0	1	0	1	6
1a3n	2	2	3	1	0	2	2	2	1	0	3	0	0	3	2	0	1	1	2	4
1a3o	2	2	3	1	1	2	2	2	1	0	2	0	0	3	2	0	1	1	2	4
1a42	2	0	3	1	1	2	3	2	5	6	13	5	0	7	2	3	5	4	3	7
1a46	5	3	0	2	4	2	4	9	1	7	9	4	5	4	3	5	4	4	4	11
1a4r	4	0	2	2	2	3	0	3	0	4	7	5	1	5	2	1	2	1	2	11
1a4w	3	3	0	2	3	2	3	9	1	7	10	4	5	4	3	5	4	3	4	9
1a4y	5	8	4	8	4	14	7	1	1	4	19	7	0	2	0	11	3	4	1	6
1a52	4	4	2	2	1	4	2	2	1	8	21	1	3	4	1	5	2	3	2	3
1a5e	24	13	2	7	0	8	1	7	3	3	13	0	4	0	9	5	2	1	1	9
1a5g	4	4	0	2	2	2	4	10	1	6	12	3	5	4	2	5	3	3	4	9
1a61	4	3	0	2	2	2	4	10	1	7	11	3	5	4	3	5	3	4	5	9
1a66	9	9	2	1	1	5	6	7	6	8	13	5	2	3	5	9	5	1	3	8
1a6a	0	1	3	1	0	2	2	1	4	1	4	0	1	2	1	2	5	1	5	5
1a6q	8	5	7	11	7	5	4	10	2	6	13	5	4	6	3	10	5	1	4	13
1a6y	1	7	2	0	4	1	0	3	1	1	0	1	0	3	0	0	0	0	1	2
1a6z	4	4	4	6	2	3	5	4	4	4	16	3	3	8	4	6	3	9	12	8
1a7c	10	1	3	2	0	2	5	2	1	6	17	0	6	14	5	6	5	2	2	16
1a85	8	1	2	2	0	2	0	4	4	3	6	1	1	6	1	1	3	3	2	2
1a86	7	0	2	1	0	2	0	4	4	3	5	1	1	6	2	1	2	3	1	2
1a8e	12	2	4	7	5	2	1	7	3	3	10	8	2	6	3	6	5	1	10	10
1a8f	8	1	3	3	8	3	2	9	3	0	8	3	1	8	6	7	7	1	8	9
1a9b	11	19	4	8	2	9	7	4	2	4	10	2	2	6	4	6	8	5	11	5
1a9e	4	6	3	3	4	5	4	3	2	5	8	2	4	8	2	6	3	6	13	8
1aa2	3	1	3	1	0	1	0	1	2	5	3	0	1	4	1	1	1	1	2	1
1aa9	6	3	3	0	1	2	1	7	1	4	10	6	1	4	1	3	5	0	3	10
1aap	0	1	2	2	1	1	1	0	0	1	0	0	0	3	0	2	0	1	2	0
1ab2	3	7	2	1	0	2	0	5	5	4	8	2	0	1	1	5	3	1	5	4
1abi	4	4	0	2	2	2	4	9	1	6	11	4	4	4	2	5	3	3	5	9
1abj	6	4	2	4	3	4	3	7	4	5	12	1	3	3	3	4	3	6	3	8
1abn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1abw	3	2	2	2	1	1	2	0	2	0	4	3	0	3	1	0	1	1	2	3
1aby	4	2	2	1	0	1	2	2	2	0	5	2	1	1	3	1	2	1	2	6
1ad6	3	1	1	1	2	3	1	2	2	2	12	0	3	6	1	2	2	1	4	5
1ad8	5	5	0	2	2	1	4	11	1	8	10	4	5	4	2	4	4	3	3	9
1ads	4	2	4	4	4	2	4	5	4	11	7	2	2	5	7	5	4	4	4	12
1adx	3	0	1	2	5	2	2	2	0	2	1	0	1	2	2	1	2	0	1	0
1adz	0	3	7	8	6	7	2	7	0	3	4	6	1	6	3	0	3	0	5	0
1ae8	5	4	0	2	4	2	3	9	1	6	12	4	5	4	3	5	3	3	6	9
1afe	5	3	0	2	3	1	3	9	1	7	12	3	5	4	2	4	3	3	6	9
1afo	2	2	0	0	0	1	1	3	2	4	4	0	1	2	0	2	1	0	1	3
1ag2	1	2	3	0	2	3	3	0	2	3	0	1	4	0	2	1	2	0	3	7
1agb	5	6	4	6	5	4	5	3	2	3	7	1	4	8	2	7	6	7	16	9
1agc	7	7	4	6	5	6	6	4	2	3	7	0	4	8	2	7	7	7	14	8
1agd	7	6	4	6	4	5	5	2	2	3	7	2	4	8	2	7	5	6	16	8
1age	6	5	4	5	4	6	5	2	2	3	7	0	4	8	2	7	6	7	15	7
1agf	7	6	4	6	4	5	5	3	4	4	7	1	4	7	2	8	6	7	16	8
1agp	3	2	1	3	2	2	1	7	0	5	7	1	1	4	0	1	3	0	3	9
1ags	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agw	4	9	3	2	2	7	3	6	2	2	13	5	5	4	8	5	3	4	6	5
1ah1	6	3	3	2	4	4	6	7	0	6	6	1	0	2	1	5	7	0	3	11
1aht	5	4	0	2	3	2	4	10	2	7	10	4	5	4	2	5	3	3	4	10
1ahw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1ai8	5	3	0	2	2	2	4	9	1	6	11	3	5	4	4	4	3	3	4	10
